State,County Name,GROC09,CONVS09,FFR09,PCT_DIABETES_ADULTS09,PCT_OBESE_ADULTS09,MEDHHINC09,LACCESS_POP09,LACCESS_POP09,POPULATOIN 09,POP 09,GROC14,CONVS14,FFR14,PCT_DIABETES_ADULTS14,PCT_OBESE_ADULTS14,MEDHHINC14,PCT_LACCESS_POP14,LACCESS_POP14,POPULATION 14,POP 14
AL,Autauga,6,29,30,12.3,34.1,53049,34%,18428,54571,"54,571",4,30,36,13,34.1,56580,32%,17497,54571,"54,977"
AL,Baldwin,24,119,112,11.4,25.5,47618,19%,35211,182265,"182,265",29,118,132,10.4,27.4,52387,17%,30561,182265,"199,745"
AL,Barbour,5,14,21,14,37,33074,21%,5722,27457,"27,457",5,19,22,18.4,44.4,31433,22%,6070,27457,"26,763"
AL,Bibb,6,19,7,11.8,34,35472,5%,1045,22915,"22,915",5,15,5,14.8,40.3,40767,4%,969,22915,"22,511"
AL,Blount,6,31,24,12.6,32,42906,3%,1548,57322,"57,322",6,27,21,14.1,34.6,50487,6%,3724,57322,"57,621"
AL,Bullock,2,2,4,15.6,39.4,25969,37%,4090,10914,"10,914",2,3,3,19.6,43,28251,38%,4142,10914,"10,712"
AL,Butler,3,24,17,16.6,40.8,29500,6%,1308,20947,"20,947",3,21,17,17.7,36.3,33868,6%,1304,20947,"20,283"
AL,Calhoun,25,88,95,14.2,33.6,37916,26%,30901,118572,"118,572",27,74,103,14.9,32.2,42091,23%,27786,118572,"115,837"
AL,Chambers,7,22,22,16.2,35.2,30061,20%,6748,34215,"34,215",7,23,26,16.4,39.7,35560,21%,7132,34215,"33,996"
AL,Cherokee,4,14,16,13.2,30.6,34410,0%,79,25989,"25,989",5,18,15,13.3,33.6,39144,0%,104,25989,"25,944"
AL,Chilton,7,37,23,11.9,35.3,38553,3%,1457,43643,"43,643",6,34,20,13.3,35.9,42767,3%,1470,43643,"43,874"
AL,Choctaw,4,16,4,16.9,38.3,32003,19%,2612,13859,"13,859",3,12,6,18.1,40.8,35089,20%,2703,13859,"13,310"
AL,Clarke,6,18,23,14.7,35.4,33739,20%,5061,25833,"25,833",5,13,26,16.3,38.2,37317,22%,5713,25833,"24,862"
AL,Clay,3,8,4,14.8,34.3,33035,5%,743,13932,"13,932",3,7,4,14.6,37.3,38908,5%,643,13932,"13,503"
AL,Cleburne,3,11,7,12.4,29.9,37566,1%,147,14972,"14,972",2,10,8,12.6,30,42136,5%,790,14972,"15,076"
AL,Coffee,7,30,35,13.3,32.1,40779,23%,11395,49948,"49,948",5,27,34,15.9,33.7,46858,21%,10486,49948,"50,757"
AL,Colbert,9,43,41,13.4,33.1,37455,17%,9520,54428,"54,428",10,43,52,18.7,37.5,41171,20%,11096,54428,"54,427"
AL,Conecuh,3,16,5,16.7,33,27855,28%,3726,13228,"13,228",2,14,7,17.4,36.4,29981,27%,3558,13228,"12,621"
AL,Coosa,0,9,0,15.1,33.8,33721,25%,2837,11539,"11,539",1,8,1,17.3,39.7,36078,25%,2829,11539,"10,794"
AL,Covington,10,27,25,12.9,36.4,33484,9%,3334,37765,"37,765",6,35,24,14.7,34,36355,10%,3769,37765,"37,795"
AL,Crenshaw,4,12,3,13.9,37.2,35577,39%,5384,13906,"13,906",3,7,5,16.5,39.7,36759,38%,5279,13906,"13,898"
AL,Cullman,10,54,50,13.2,32,37948,8%,6295,80406,"80,406",15,49,53,14.4,33.4,39290,7%,5900,80406,"81,167"
AL,Dale,7,33,33,13.2,35.6,41287,28%,13847,50251,"50,251",8,32,34,14.1,36.5,45294,28%,14037,50251,"49,389"
AL,Dallas,9,39,20,16,41.4,26195,18%,7786,43820,"43,820",8,31,19,19,40.8,29682,17%,7640,43820,"41,532"
AL,DeKalb,12,46,41,11.3,33.9,34822,4%,2680,71109,"71,109",14,50,43,13.4,30.4,37305,4%,2680,71109,"70,947"
AL,Elmore,10,57,29,12.3,31.5,51013,19%,15012,79303,"79,303",10,56,45,13.4,35.4,53548,19%,15064,79303,"80,794"
AL,Escambia,8,33,22,13.2,35.5,31365,14%,5189,38319,"38,319",4,29,27,17.8,37.7,36840,13%,5059,38319,"37,878"
AL,Etowah,19,63,82,13.3,32.1,36088,24%,24779,104430,"104,430",13,68,79,16.8,35.1,42145,22%,23290,104430,"103,371"
AL,Fayette,5,7,12,14.1,36.5,32643,3%,438,17241,"17,241",5,8,9,15.1,33.7,37085,2%,407,17241,"16,821"
AL,Franklin,6,23,22,14.6,31.2,33649,10%,3074,31704,"31,704",8,16,18,13.9,33.2,38535,12%,3663,31704,"31,540"
AL,Geneva,11,15,10,13.8,35.5,34418,2%,606,26790,"26,790",10,14,10,13.9,34.1,36289,2%,605,26790,"26,688"
AL,Greene,5,8,1,18.8,47.6,27117,36%,3287,9045,"9,045",2,12,1,21,46.3,25398,33%,2963,9045,"8,525"
AL,Hale,4,13,5,15,43.5,31790,1%,87,15760,"15,760",3,15,7,16,40.4,35470,12%,1865,15760,"15,081"
AL,Henry,4,13,10,14.8,33.7,37851,2%,386,17302,"17,302",3,15,10,18.7,35.8,42501,5%,805,17302,"17,156"
AL,Houston,14,63,83,12.4,33,39290,21%,21404,101547,"101,547",16,67,97,13.7,32.8,43568,18%,18341,101547,"104,177"
AL,Jackson,15,34,30,13.6,30.5,36158,9%,4855,53227,"53,227",11,47,29,14.9,32,40201,8%,4219,53227,"52,580"
AL,Jefferson,108,433,578,12.4,32,41740,32%,209261,658466,"658,466",108,459,642,13,33.2,48415,31%,205658,658466,"659,733"
AL,Lamar,4,8,7,12.9,32.2,32993,1%,92,14564,"14,564",3,9,6,14.9,33.6,36520,2%,230,14564,"14,062"
AL,Lauderdale,15,57,61,13.7,32.4,39213,16%,14584,92709,"92,709",17,50,72,14.2,32.9,43008,13%,12476,92709,"93,005"
AL,Lawrence,7,18,25,13.6,38.1,37365,4%,1349,34339,"34,339",5,19,16,15.6,35.5,41771,5%,1648,34339,"33,432"
AL,Lee,13,74,108,10.2,30,40102,31%,43795,140247,"140,247",17,76,128,9.5,29,46442,26%,36836,140247,"154,277"
AL,Limestone,12,58,45,10.4,31.4,49667,12%,10137,82782,"82,782",9,56,51,12.6,32.9,55060,11%,9339,82782,"90,640"
AL,Lowndes,2,10,2,18.5,44.6,28754,49%,5503,11299,"11,299",3,6,0,23.5,45.1,31117,22%,2540,11299,"10,524"
AL,Macon,5,14,10,15.6,41.4,27041,35%,7506,21452,"21,452",4,14,9,18.4,44.7,29522,38%,8051,21452,"19,594"
AL,Madison,35,211,300,11.8,31.4,54633,33%,110052,334811,"334,811",44,213,330,11.5,32.3,59117,26%,88544,334811,"350,121"
AL,Marengo,4,22,16,16.9,40.2,33085,27%,5587,21027,"21,027",3,20,19,20.2,40.3,35389,24%,5125,21027,"20,086"
AL,Marion,5,18,26,12.3,32.7,32080,2%,538,30776,"30,776",3,24,17,18.7,35.5,34977,6%,1929,30776,"30,250"
AL,Marshall,19,65,70,12,29.1,38859,14%,12814,93019,"93,019",21,71,71,12.8,33.2,40599,11%,10485,93019,"94,320"
AL,Mobile,60,260,253,12.3,31.7,39753,27%,112774,412992,"412,992",60,229,253,15.6,37.1,42530,25%,103769,412992,"414,342"
AL,Monroe,7,15,10,13.8,35.5,31744,31%,7149,23068,"23,068",6,15,9,17.8,35.3,35163,25%,5712,23068,"21,902"
AL,Montgomery,33,131,169,13.9,34.1,41556,28%,64260,229363,"229,363",37,141,210,13.5,34.8,42666,29%,66181,229363,"227,193"
AL,Morgan,22,91,100,11.2,32.9,44859,12%,14010,119490,"119,490",16,95,99,12.6,31.6,47234,13%,15514,119490,"119,602"
AL,Perry,5,8,2,19.8,40.2,24742,9%,972,10591,"10,591",4,6,1,21.7,43,26218,8%,882,10591,"9,842"
AL,Pickens,4,11,6,16,36.4,31032,4%,851,19746,"19,746",4,8,8,16.4,36.4,33160,3%,529,19746,"20,332"
AL,Pike,9,17,30,15.3,36.9,32771,11%,3733,32899,"32,899",6,20,33,13.5,38.4,34442,14%,4535,32899,"33,020"
AL,Randolph,4,17,11,14.5,32.1,32584,5%,1061,22913,"22,913",3,18,9,14.9,30.9,37333,15%,3375,22913,"22,468"
AL,Russell,8,37,44,13.4,39.3,32733,16%,8512,52947,"52,947",12,38,44,12.9,36.4,36124,12%,6226,52947,"59,282"
AL,Shelby,26,100,128,8.2,28,67135,27%,52014,195085,"195,085",26,98,141,8.7,30.1,70879,24%,47122,195085,"205,990"
AL,Sumter,3,19,7,18.5,42.1,25586,16%,2224,13763,"13,763",3,17,7,20.1,40.3,25931,17%,2305,13763,"13,283"
AL,Talladega,7,78,49,14.5,36.8,35646,15%,12352,82291,"82,291",9,73,49,15.3,39,37911,13%,11038,82291,"81,216"
AL,Tallapoosa,5,39,24,14,36.9,34440,11%,4598,41616,"41,616",6,36,20,13.7,36.9,39051,8%,3485,41616,"41,027"
