State,Region,Division,County Name,Grocery 2009,Convenience 2009,Fast Food Restaurants 2009,Adult Diabetes % 2009,Adult Obsesity % 2009,Median Household Income 2009,Limited Access Population% 2009,Limited Access Population 2009,Population 2009,Grocery 2014,Convenience 2014,Fast Food Restaurants 2014,Adult Diabetes 2014,Adult Obesity 2014,Median Household Income 2014,Limited Access % 2014,Limited Access 2014,Population 2014,FF per capita 2009,FF per capita 2014,% change FF Per Capita,Grocery per capita 2009,Grocery per capita 2014,% change in grocery per capita,% change in Access,% Change in Obesity,% change in income
AL,South,East South Central,Coosa,0,9,0,15.1,33.8,33721,25,2837,11539,1,8,1,17.3,39.7,36078,25,2829,10794,0,0.00009,0.01,0,0.00009260,0.00,0.00,17.46,6.99
AK,West,Pacific,Dillingham,5,2,0,8.2,34.2,46845,33,1579,4847,6,3,1,7.2,38,50753,51,2462,4989,0,0.0002,0.02,0.001031566,0.00120265,16.58,54.55,11.11,8.34
CO,West,Mountain,Mineral,1,0,0,6.9,19,45645,96,682,712,1,2,1,6.8,18.1,50481,13,91,693,0,0.00144,0.14,0.001404494,0.00144300,2.74,-86.46,-4.74,10.59
GA,South,South Atlantic,Irwin,1,6,0,11.7,31.2,32859,7,678,9538,1,7,4,12.4,29.2,35284,7,710,9133,0,0.00044,0.04,0.000104844,0.00010949,4.43,0.00,-6.41,7.38
IA,Midwest,West North Central,Audubon,2,3,0,10.4,33.2,45563,4,254,6119,1,3,1,11.7,31.2,50948,8,462,5785,0,0.00017,0.02,0.000326851,0.00017286,-47.11,100.00,-6.02,11.82
KS,Midwest,West North Central,Comanche,2,1,0,10.3,28.9,38207,18,337,1891,2,4,1,11.1,33.6,43809,18,337,1945,0,0.00051,0.05,0.001057641,0.00102828,-2.78,0.00,16.26,14.66
KS,Midwest,West North Central,Haskell,1,3,0,10.1,30.7,51257,100,4256,4256,2,2,1,9.8,33.9,59356,100,4256,4076,0,0.00025,0.02,0.000234962,0.00049068,108.83,0.00,10.42,15.80
KS,Midwest,West North Central,Jewell,2,1,0,12.3,33.7,37640,27,836,3077,3,1,2,13,29.6,43201,27,826,3038,0,0.00066,0.07,0.000649984,0.00098749,51.93,0.00,-12.17,14.77
KS,Midwest,West North Central,Lane,1,2,0,10.5,34,44288,100,1750,1750,1,1,1,11.8,30.8,57388,22,390,1685,0,0.00059,0.06,0.000571429,0.00059347,3.86,-78.00,-9.41,29.58
KY,South,East South Central,Carlisle,1,3,0,13,32.4,38182,7,344,5104,1,3,2,13.1,33.4,43144,2,115,4988,0,0.0004,0.04,0.000195925,0.00020048,2.33,-71.43,3.09,13.00
KY,South,East South Central,Ohio,1,3,0,11,29.9,47937,0,0,6128,1,2,2,12.4,30.4,53177,0,0,6014,0,0.00033,0.03,0.000163185,0.00016628,1.90,0.00,1.67,10.93
LA,South,West South Central,Cameron,4,5,0,10.6,32.9,47100,25,1681,6839,3,6,1,11.7,31.5,56259,26,1747,6697,0,0.00015,0.01,0.000584881,0.00044796,-23.41,4.00,-4.26,19.45
MI,Midwest,East North Central,Ontonagon,4,7,0,13.1,32.4,36566,32,2155,6780,4,4,1,13.3,33,37508,33,2211,6173,0,0.00016,0.02,0.000589971,0.00064798,9.83,3.13,1.85,2.58
MO,Midwest,West North Central,Shannon,3,4,0,11.8,34.8,26600,29,2467,8441,2,6,1,12.2,29.7,28171,17,1400,8286,0,0.00012,0.01,0.000355408,0.00024137,-32.09,-41.38,-14.66,5.91
MT,West,Mountain,Mineral,1,0,0,6.9,19,45645,96,682,712,1,2,1,6.8,18.1,50481,13,91,693,0,0.00144,0.14,0.001404494,0.00144300,2.74,-86.46,-4.74,10.59
NE,Midwest,West North Central,Deuel,1,3,0,8.9,27.6,40325,27,521,1941,2,2,1,9.7,30.1,47641,27,521,1935,0,0.00052,0.05,0.000515198,0.00103359,100.62,0.00,9.06,18.14
NE,Midwest,West North Central,Gosper,2,1,0,10.4,28.5,49286,64,1298,2044,1,2,1,9.9,34.4,56882,64,1313,1952,0,0.00051,0.05,0.000978474,0.00051230,-47.64,0.00,20.70,15.41
NE,Midwest,West North Central,Nuckolls,2,3,0,9.2,30.1,36985,36,1629,4500,2,3,2,9.4,33.5,41956,36,1621,4356,0,0.00046,0.05,0.000444444,0.00045914,3.31,0.00,11.30,13.44
NV,West,Mountain,Mineral,1,0,0,6.9,19,45645,96,682,712,1,2,1,6.8,18.1,50481,13,91,693,0,0.00144,0.14,0.001404494,0.00144300,2.74,-86.46,-4.74,10.59
NC,South,South Atlantic,Tyrrell,2,4,0,12,31.9,31732,11,506,4407,1,5,4,13.6,30.8,33759,11,490,4120,0,0.00097,0.1,0.000453823,0.00024272,-46.52,0.00,-3.45,6.39
ND,Midwest,West North Central,Divide,1,0,0,9.3,29.8,48992,33,684,2071,1,3,1,10.1,27.1,62922,33,689,2428,0,0.00041,0.04,0.000482859,0.00041186,-14.70,0.00,-9.06,28.43
OK,South,West South Central,Beaver,1,6,0,10.5,32.4,48158,39,2220,5636,1,6,1,13.4,38.9,59544,38,2157,5479,0,0.00018,0.02,0.000177431,0.00018252,2.87,-2.56,20.06,23.64
OK,South,West South Central,Comanche,2,1,0,10.3,28.9,38207,18,337,1891,2,4,1,11.1,33.6,43809,18,337,1945,0,0.00051,0.05,0.001057641,0.00102828,-2.78,0.00,16.26,14.66
OK,South,West South Central,Harmon,2,3,0,11.4,32,28914,8,242,2922,1,2,1,14,36.8,33144,8,242,2804,0,0.00036,0.04,0.000684463,0.00035663,-47.90,0.00,15.00,14.63
OK,South,West South Central,Haskell,1,3,0,10.1,30.7,51257,100,4256,4256,2,2,1,9.8,33.9,59356,100,4256,4076,0,0.00025,0.02,0.000234962,0.00049068,108.83,0.00,10.42,15.80
OR,West,Pacific,Lane,1,2,0,10.5,34,44288,100,1750,1750,1,1,1,11.8,30.8,57388,22,390,1685,0,0.00059,0.06,0.000571429,0.00059347,3.86,-78.00,-9.41,29.58
PA,Northeast,Mid-Atlantic,Beaver,1,6,0,10.5,32.4,48158,39,2220,5636,1,6,1,13.4,38.9,59544,38,2157,5479,0,0.00018,0.02,0.000177431,0.00018252,2.87,-2.56,20.06,23.64
PA,Northeast,Mid-Atlantic,Cameron,4,5,0,10.6,32.9,47100,25,1681,6839,3,6,1,11.7,31.5,56259,26,1747,6697,0,0.00015,0.01,0.000584881,0.00044796,-23.41,4.00,-4.26,19.45
SD,Midwest,West North Central,Deuel,1,3,0,8.9,27.6,40325,27,521,1941,2,2,1,9.7,30.1,47641,27,521,1935,0,0.00052,0.05,0.000515198,0.00103359,100.62,0.00,9.06,18.14
